# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1788586795540000000,1788586855668000000,6
cacheStateStorage.set.duration,1788586795540000000,1788586855668000000,31
cacheStateStorage.get.counter,1788586795540000000,1788586855668000000,375
cacheStateStorage.get.duration,1788586795540000000,1788586855668000000,372
JVM.maxThreadCount,1788586795540000000,1788586855668000000,152
JVM.newThreadsCount,1788586795540000000,1788586855668000000,236
JVM.maxHeapBytes,1788586795540000000,1788586855668000000,2147483648
OS.loadAverage,1788586795540000000,1788586855668000000,4.61865234375
JVM.threadCount,1788586795540000000,1788586855668000000,145
JVM.totalCpuTimeMs,1788586795540000000,1788586855668000000,88199
JVM.GC.collectionTimesMs,1788586795540000000,1788586855668000000,1522
JVM.totalSafepointCount,1788586795540000000,1788586855668000000,61
JVM.totalDirectByteBuffersBytes,1788586795540000000,1788586855668000000,26515464
MEM.ramMinusFileMappingsBytes,1788586795540000000,1788586855668000000,868188160
JVM.committedHeapBytes,1788586795540000000,1788586855668000000,723517440
MEM.ramBytes,1788586795540000000,1788586855668000000,959299584
JVM.totalBytesAllocated,1788586795540000000,1788586855668000000,4648495920
JVM.totalTimeToSafepointsMs,1788586795540000000,1788586855668000000,23
JVM.usedHeapBytes,1788586795540000000,1788586855668000000,621703528
MEM.fileMappingsRamBytes,1788586795540000000,1788586855668000000,91111424
MEM.ramPlusSwapMinusFileMappingsBytes,1788586795540000000,1788586855668000000,1594339904
JVM.GC.collections,1788586795540000000,1788586855668000000,59
JVM.totalTimeAtSafepointsMs,1788586795540000000,1788586855668000000,1527
JVM.usedNativeBytes,1788586795540000000,1788586855668000000,513000856
Indexes.allKeys.lookupDurationAvgMs,1788586795540000000,1788586855668000000,0.0
Indexing.cache.totalCacheEvicted,1788586795540000000,1788586855668000000,341
Indexes.entries.lookupDuration90PMs,1788586795540000000,1788586855668000000,0.0
Indexes.stubs.lookupDurationMaxMs,1788586795540000000,1788586855668000000,0.0
Indexes.stubs.lookupDurationAvgMs,1788586795540000000,1788586855668000000,0.0
Indexes.stubs.lookupDuration90PMs,1788586795540000000,1788586855668000000,0.0
Indexes.entries.lookups,1788586795540000000,1788586855668000000,13
Indexes.allKeys.lookupDurationMaxMs,1788586795540000000,1788586855668000000,0.0
Indexing.cache.totalCacheAccesses,1788586795540000000,1788586855668000000,569
Indexing.totalTimeIndexersSleptMs,1788586795540000000,1788586855668000000,0
Indexes.entries.lookupDurationAvgMs,1788586795540000000,1788586855668000000,0.0
Indexing.writesQueuedMin,1788586795540000000,1788586855668000000,9223372036854775807
Indexing.writer_0.totalTimeSpentWritingMs,1788586795540000000,1788586855668000000,0
Indexing.writesQueuedMax,1788586795540000000,1788586855668000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788586795540000000,1788586855668000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788586795540000000,1788586855668000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788586795540000000,1788586855668000000,0
Indexing.cache.totalCacheMisses,1788586795540000000,1788586855668000000,382
Indexes.allKeys.lookupDuration90PMs,1788586795540000000,1788586855668000000,0.0
Indexes.stubs.lookups,1788586795540000000,1788586855668000000,146
Indexes.allKeys.lookups,1788586795540000000,1788586855668000000,1
Indexes.entries.lookupDurationMaxMs,1788586795540000000,1788586855668000000,0.0
jps.global.initialize.library.bridges.ms,1788586795540000000,1788586855668000000,20
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788586795540000000,1788586855668000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788586795540000000,1788586855668000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788586795540000000,1788586855668000000,3
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788586795540000000,1788586855668000000,97
workspaceModel.do.save.caches.ms,1788586795540000000,1788586855668000000,241
jps.module.iml.entities.serializer.save.entities.ms,1788586795540000000,1788586855668000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788586795540000000,1788586855668000000,1
jps.library.entities.serializer.save.entities.ms,1788586795540000000,1788586855668000000,0
jps.library.entities.serializer.load.entities.ms,1788586795540000000,1788586855668000000,653
workspaceModel.orphan.listener.update.ms,1788586795540000000,1788586855668000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1788586795540000000,1788586855668000000,0
workspaceModel.global.updates.count,1788586795540000000,1788586855668000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1788586795540000000,1788586855668000000,28
workspaceModel.mutableEntityStorage.referrers.ms,1788586795540000000,1788586855668000000,0
jps.facet.change.listener.before.change.events.ms,1788586795540000000,1788586855668000000,0
workspaceModel.load.cache.from.file.ms,1788586795540000000,1788586855668000000,500
jps.storage.jps.conf.reader.load.component.ms,1788586795540000000,1788586855668000000,245
workspaceModel.mutableEntityStorage.instances.count,1788586795540000000,1788586855668000000,42
workspaceModel.global.apply.state.to.project.ms,1788586795540000000,1788586855668000000,38
workspaceModel.load.cache.metadata.from.file.ms,1788586795540000000,1788586855668000000,37
jps.save.changed.project.entities.ms,1788586795540000000,1788586855668000000,3
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1788586795540000000,1788586855668000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788586795540000000,1788586855668000000,122
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788586795540000000,1788586855668000000,5
workspaceModel.mutableEntityStorage.modify.entity.ms,1788586795540000000,1788586855668000000,9
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788586795540000000,1788586855668000000,0
jps.global.get.library.by.name.ms,1788586795540000000,1788586855668000000,0
jps.facet.change.listener.init.bridge.ms,1788586795540000000,1788586855668000000,4
jps.app.storage.content.writer.save.component.ms,1788586795540000000,1788586855668000000,15
