# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1788579817578000000,1788579846985000000,20
VFS.fileByIdCache.hits,1788579817578000000,1788579846985000000,0
VFS.rootsCount,1788579817578000000,1788579846985000000,0.0
VFS.ContentWriter.totalTasksExecutedSync,1788579817578000000,1788579846985000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1788579817578000000,1788579846985000000,0
VFS.folderCaseSensitivityReads,1788579817578000000,1788579846985000000,13
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788579817578000000,1788579846985000000,0
VFS.fileByIdCache.misses,1788579817578000000,1788579846985000000,0
VFS.invertedFileNameIndex.requests,1788579817578000000,1788579846985000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788579817578000000,1788579846985000000,0
VFS.ContentWriter.totalFlushes,1788579817578000000,1788579846985000000,0
Indexing.writesQueuedAvg,1788579817578000000,1788579846985000000,0.0
Indexing.writesQueuedMax,1788579817578000000,1788579846985000000,0
Indexing.cache.totalCacheMisses,1788579817578000000,1788579846985000000,0
Indexing.cache.totalCacheAccesses,1788579817578000000,1788579846985000000,0
Indexing.totalTimeIndexersSleptMs,1788579817578000000,1788579846985000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788579817578000000,1788579846985000000,0
Indexing.cache.totalCacheEvicted,1788579817578000000,1788579846985000000,0
Indexing.writesQueuedMin,1788579817578000000,1788579846985000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788579817578000000,1788579846985000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788579817578000000,1788579846985000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788579817578000000,1788579846985000000,0
writeAction.median.wait.ms,1788579817578000000,1788579846985000000,0
writeAction.wait.ms,1788579817578000000,1788579846985000000,3
writeAction.count,1788579817578000000,1788579846985000000,1
writeAction.max.wait.ms,1788579817578000000,1788579846985000000,3
cacheStateStorage.set.counter,1788579817578000000,1788579846985000000,2
cacheStateStorage.get.counter,1788579817578000000,1788579846985000000,2
cacheStateStorage.get.duration,1788579817578000000,1788579846985000000,0
cacheStateStorage.set.duration,1788579817578000000,1788579846985000000,17
MappedFileStorage.totalTimeSpentOnMappingUs,1788579817578000000,1788579846985000000,1179166
MappedFileStorage.totalBytesMapped,1788579817578000000,1788579846985000000,68157440
FilePageCache.WAL.entriesFlushedOnTruncate,1788579817578000000,1788579846985000000,0
DirectByteBufferAllocator.disposed,1788579817578000000,1788579846985000000,310
FilePageCache.totalPageLoadsUs,1788579817578000000,1788579846985000000,362380
StorageLockContext.competingThreads.max,1788579817578000000,1788579846985000000,3
MappedFileStorage.storages,1788579817578000000,1788579846985000000,2
StorageLockContext.competingThreads.90P,1788579817578000000,1788579846985000000,0
FilePageCache.WAL.entriesFlushedOnRead,1788579817578000000,1788579846985000000,18
FilePageCache.totalPageDisposalsUs,1788579817578000000,1788579846985000000,3065
FilePageCache.disposedBuffers,1788579817578000000,1788579846985000000,316
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788579817578000000,1788579846985000000,0
FilePageCache.WAL.bytesQueued,1788579817578000000,1788579846985000000,524416
FilePageCache.pageLoadsAboveSizeThreshold,1788579817578000000,1788579846985000000,0
FilePageCache.totalBytesStored,1788579817578000000,1788579846985000000,1303152
DirectByteBufferAllocator.hits,1788579817578000000,1788579846985000000,5
FilePageCache.pageFastCacheHits,1788579817578000000,1788579846985000000,21755
FilePageCache.maxCacheSizeInBytes,1788579817578000000,1788579846985000000,322977792
DirectByteBufferAllocator.reclaimed,1788579817578000000,1788579846985000000,48
StorageLockContext.competingThreads.avg,1788579817578000000,1788579846985000000,0.05357142857142857
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788579817578000000,1788579846985000000,41967616
FilePageCache.maxRegisteredFiles,1788579817578000000,1788579846985000000,867
MappedFileStorage.totalPagesMapped,1788579817578000000,1788579846985000000,2
FilePageCache.pageLoads,1788579817578000000,1788579846985000000,316
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788579817578000000,1788579846985000000,8192
FilePageCache.totalPageStoresUs,1788579817578000000,1788579846985000000,55403
FileChannelInterruptsRetryer.totalRetriedAttempts,1788579817578000000,1788579846985000000,0
