# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.ContentWriter.totalTasksExecutedAsync,1788582552770000000,1788582612887000000,0
FileNameCache.totalMisses,1788582552770000000,1788582612887000000,832
VFS.ContentWriter.totalFlushes,1788582552770000000,1788582612887000000,0
VFS.folderCaseSensitivityReads,1788582552770000000,1788582612887000000,1
VFS.contentStorage.recordsUncompressedSize,1788582552770000000,1788582612887000000,0
VFS.contentStorage.recordsStoredCompressed,1788582552770000000,1788582612887000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788582552770000000,1788582612887000000,0
VFS.contentStorage.recordsStoredSize,1788582552770000000,1788582612887000000,0
VFS.fileByIdCache.misses,1788582552770000000,1788582612887000000,1032
cacheStateStorage.set.counter,1788582552770000000,1788582612887000000,4
cacheStateStorage.get.duration,1788582552770000000,1788582612887000000,107
cacheStateStorage.get.counter,1788582552770000000,1788582612887000000,29
cacheStateStorage.set.duration,1788582552770000000,1788582612887000000,27
Indexing.writer_1.totalTimeSpentWritingMs,1788582552770000000,1788582612887000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788582552770000000,1788582612887000000,0
Indexes.stubs.lookupDuration90PMs,1788582552770000000,1788582612887000000,0.0
Indexing.writesQueuedMin,1788582552770000000,1788582612887000000,9223372036854775807
Indexing.writesQueuedMax,1788582552770000000,1788582612887000000,0
Indexes.stubs.lookupDurationMaxMs,1788582552770000000,1788582612887000000,0.0
Indexes.entries.lookupDurationMaxMs,1788582552770000000,1788582612887000000,0.0
Indexes.entries.lookupDurationAvgMs,1788582552770000000,1788582612887000000,0.0
Indexes.allKeys.lookups,1788582552770000000,1788582612887000000,2
Indexes.entries.lookups,1788582552770000000,1788582612887000000,19
Indexing.writer_0.totalTimeSpentWritingMs,1788582552770000000,1788582612887000000,0
Indexing.cache.totalCacheEvicted,1788582552770000000,1788582612887000000,3954
Indexing.cache.totalCacheMisses,1788582552770000000,1788582612887000000,3995
Indexes.allKeys.lookupDuration90PMs,1788582552770000000,1788582612887000000,0.0
Indexes.entries.lookupDuration90PMs,1788582552770000000,1788582612887000000,0.0
Indexing.totalTimeIndexersSleptMs,1788582552770000000,1788582612887000000,0
Indexes.allKeys.lookupDurationAvgMs,1788582552770000000,1788582612887000000,0.0
Indexes.stubs.lookupDurationAvgMs,1788582552770000000,1788582612887000000,0.0
Indexes.stubs.lookups,1788582552770000000,1788582612887000000,230
Indexes.allKeys.lookupDurationMaxMs,1788582552770000000,1788582612887000000,0.0
Indexing.cache.totalCacheAccesses,1788582552770000000,1788582612887000000,4312
Indexing.writer_3.totalTimeSpentWritingMs,1788582552770000000,1788582612887000000,0
workspaceModel.save.cache.to.file.ms,1788582552770000000,1788582612887000000,115
jps.load.project.to.empty.storage.ms,1788582552770000000,1788582612887000000,192
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788582552770000000,1788582612887000000,140
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788582552770000000,1788582612887000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788582552770000000,1788582612887000000,3
jps.global.initialize.library.bridges.after.loading.ms,1788582552770000000,1788582612887000000,0
jps.global.initialize.library.bridges.ms,1788582552770000000,1788582612887000000,43
workspaceModel.mutableEntityStorage.collect.changes.ms,1788582552770000000,1788582612887000000,4
workspaceModel.mutableEntityStorage.resolve.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788582552770000000,1788582612887000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788582552770000000,1788582612887000000,0
jps.global.handle.changed.events.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788582552770000000,1788582612887000000,0
jps.project.serializers.save.ms,1788582552770000000,1788582612887000000,2
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788582552770000000,1788582612887000000,0
jps.app.storage.content.writer.save.component.ms,1788582552770000000,1788582612887000000,6
workspaceModel.delayed.project.synchronizer.sync.ms,1788582552770000000,1788582612887000000,369
workspaceModel.global.updates.count,1788582552770000000,1788582612887000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1788582552770000000,1788582612887000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788582552770000000,1788582612887000000,0
workspaceModel.moduleBridge.update.option.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788582552770000000,1788582612887000000,0
workspaceModel.orphan.listener.update.ms,1788582552770000000,1788582612887000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788582552770000000,1788582612887000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788582552770000000,1788582612887000000,77
jps.library.entities.serializer.load.entities.ms,1788582552770000000,1788582612887000000,39
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788582552770000000,1788582612887000000,4
workspaceModel.load.cache.from.file.ms,1788582552770000000,1788582612887000000,353
workspaceModel.do.save.caches.ms,1788582552770000000,1788582612887000000,129
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788582552770000000,1788582612887000000,3
jps.facet.change.listener.init.bridge.ms,1788582552770000000,1788582612887000000,15
jps.module.iml.entities.serializer.save.entities.ms,1788582552770000000,1788582612887000000,0
jps.artifact.entities.serializer.load.entities.ms,1788582552770000000,1788582612887000000,0
jps.global.handle.before.change.events.ms,1788582552770000000,1788582612887000000,0
jps.load.initial.state.ms,1788582552770000000,1788582612887000000,40
jps.facet.change.listener.before.change.events.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.instances.count,1788582552770000000,1788582612887000000,42
