# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1788580412891000000,1788580473080000000,0
writeAction.max.wait.ms,1788580412891000000,1788580473080000000,1
writeAction.wait.ms,1788580412891000000,1788580473080000000,1
writeAction.count,1788580412891000000,1788580473080000000,1
FileNameCache.queries,1788580412891000000,1788580473080000000,1920
VFS.cache.directoriesCreated,1788580412891000000,1788580473080000000,20
VFS.cache.filesCreated,1788580412891000000,1788580473080000000,303
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788580412891000000,1788580473080000000,0
VFS.fileByIdCache.misses,1788580412891000000,1788580473080000000,0
VFS.contentStorage.recordsStoredCompressed,1788580412891000000,1788580473080000000,0
VFS.folderCaseSensitivityReads,1788580412891000000,1788580473080000000,1
VFS.contentStorage.recordsStored,1788580412891000000,1788580473080000000,0
VFS.contentStorage.recordsRead,1788580412891000000,1788580473080000000,0
VFS.contentStorage.recordsReadSize,1788580412891000000,1788580473080000000,0
VFS.invertedFileNameIndex.requests,1788580412891000000,1788580473080000000,0
VFS.cache.segmentsCreated,1788580412891000000,1788580473080000000,1
VFS.ContentWriter.totalTasksExecutedAsync,1788580412891000000,1788580473080000000,0
VFS.fileByIdCache.hits,1788580412891000000,1788580473080000000,0
VFS.contentStorage.recordsDeduplicated,1788580412891000000,1788580473080000000,0
VFS.cache.segments,1788580412891000000,1788580473080000000,1
VFS.contentStorage.recordsDecompressionTimeUs,1788580412891000000,1788580473080000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788580412891000000,1788580473080000000,0
VFS.contentStorage.recordsUncompressedSize,1788580412891000000,1788580473080000000,0
VFS.fileChildByName,1788580412891000000,1788580473080000000,121
VFS.contentStorage.recordsReadDecompressed,1788580412891000000,1788580473080000000,0
VFS.ContentWriter.totalFlushes,1788580412891000000,1788580473080000000,0
VFS.rootsCount,1788580412891000000,1788580473080000000,1.0
VFS.ContentWriter.totalTasksExecutedSync,1788580412891000000,1788580473080000000,0
FileNameCache.totalMisses,1788580412891000000,1788580473080000000,64
